event_id,session_id,participant_id,student_id,student_name,timestamp,event_type,description,speech_context
EVT00000001,SES000001,PAR000001,STU026,Zara Okonkwo,2025-09-04 09:51:47,Attention,Distracted (looking away),Let's take a five minute break
EVT00000002,SES000001,PAR000001,STU026,Zara Okonkwo,2025-09-04 10:05:08,Attention,Focused,Who can tell me the difference between SQL and NoSQL
EVT00000003,SES000001,PAR000001,STU026,Zara Okonkwo,2025-09-04 10:21:24,Attention,Focused,Group discussion starts now
EVT00000004,SES000001,PAR000001,STU026,Zara Okonkwo,2025-09-04 10:17:13,Hand Motion,Hand Detected,Remember to commit your changes regularly
EVT00000005,SES000001,PAR000001,STU026,Zara Okonkwo,2025-09-04 10:12:28,Hand Motion,Hand Not Detected,The project requirements are on the portal
EVT00000006,SES000001,PAR000001,STU026,Zara Okonkwo,2025-09-04 09:45:11,Attention,Focused,Who can tell me the difference between SQL and NoSQL
EVT00000007,SES000001,PAR000001,STU026,Zara Okonkwo,2025-09-04 09:59:52,Attention,Distracted (looking sideways and up),Let's look at this example together
EVT00000008,SES000001,PAR000001,STU026,Zara Okonkwo,2025-09-04 09:52:26,Attention,Focused,Let's debug this code together
EVT00000009,SES000001,PAR000002,STU040,Nkechi Johnson,2025-09-04 09:43:30,Attention,Focused,The database schema looks like this
EVT00000010,SES000001,PAR000002,STU040,Nkechi Johnson,2025-09-04 09:57:39,Attention,Distracted (looking sideways and down),Group discussion starts now
EVT00000011,SES000001,PAR000002,STU040,Nkechi Johnson,2025-09-04 09:39:40,Attention,Distracted (looking away),Let me show you how this works in practice
EVT00000012,SES000001,PAR000002,STU040,Nkechi Johnson,2025-09-04 10:04:50,Fatigue,Drowsy,The assignment is due next Friday
EVT00000013,SES000001,PAR000002,STU040,Nkechi Johnson,2025-09-04 09:50:59,Attention,Distracted (looking sideways and down),Make sure to test your functions
EVT00000014,SES000001,PAR000002,STU040,Nkechi Johnson,2025-09-04 10:12:25,Attention,Focused,Make sure to test your functions
EVT00000015,SES000001,PAR000002,STU040,Nkechi Johnson,2025-09-04 09:58:15,Hand Motion,Hand Detected,Can anyone explain what a variable is
