participant_id,session_id,student_id,student_name,joined_at,left_at,engagement_profile
PAR000001,SES000001,STU026,Zara Okonkwo,2025-09-04 09:34:00,2025-09-04 10:30:00,moderate
PAR000002,SES000001,STU040,Nkechi Johnson,2025-09-04 09:39:00,2025-09-04 10:30:00,moderate
PAR000003,SES000001,STU041,Olu Mohammed,2025-09-04 09:34:00,2025-09-04 10:30:00,erratic
PAR000004,SES000001,STU074,Vivian Hassan,2025-09-04 09:36:00,2025-09-04 10:30:00,erratic
PAR000005,SES000001,STU011,Kevin Okonkwo,2025-09-04 09:36:00,2025-09-04 10:30:00,high_engaged
PAR000006,SES000001,STU015,Oscar Smith,2025-09-04 09:39:00,2025-09-04 10:30:00,high_engaged
PAR000007,SES000001,STU021,Umar Nwosu,2025-09-04 09:30:00,2025-09-04 10:30:00,high_engaged
PAR000008,SES000001,STU032,Funmi Mohammed,2025-09-04 09:40:00,2025-09-04 10:30:00,erratic
PAR000009,SES000001,STU067,Obi Bello,2025-09-04 09:33:00,2025-09-04 10:30:00,high_engaged
PAR000010,SES000001,STU017,Quinn Smith,2025-09-04 09:37:00,2025-09-04 10:30:00,erratic
PAR000011,SES000001,STU053,Abdul Nwosu,2025-09-04 09:32:00,2025-09-04 10:16:00,high_engaged
PAR000012,SES000001,STU078,Alice Abubakar,2025-09-04 09:36:00,2025-09-04 10:30:00,moderate
PAR000013,SES000001,STU058,Femi Smith,2025-09-04 09:32:00,2025-09-04 10:00:00,erratic
PAR000014,SES000001,STU062,Joy Adeyemi,2025-09-04 09:32:00,2025-09-04 10:30:00,moderate
PAR000015,SES000001,STU018,Rachel Smith,2025-09-04 09:31:00,2025-09-04 10:09:00,moderate
PAR000016,SES000002,STU059,Gloria Bello,2025-09-04 10:36:00,2025-09-04 13:30:00,low_engaged
PAR000017,SES000002,STU064,Lami Johnson,2025-09-04 10:32:00,2025-09-04 11:44:00,moderate
PAR000018,SES000002,STU016,Paula Mohammed,2025-09-04 10:33:00,2025-09-04 13:30:00,low_engaged
PAR000019,SES000002,STU029,Chidi Okafor,2025-09-04 10:33:00,2025-09-04 13:30:00,high_engaged
PAR000020,SES000002,STU027,Ade Hassan,2025-09-04 10:40:00,2025-09-04 13:30:00,high_engaged
PAR000021,SES000002,STU025,Yusuf Mohammed,2025-09-04 10:31:00,2025-09-04 11:10:00,high_engaged
PAR000022,SES000002,STU035,Ifeanyi Abubakar,2025-09-04 10:35:00,2025-09-04 13:30:00,moderate
PAR000023,SES000002,STU037,Kemi Adeyemi,2025-09-04 10:36:00,2025-09-04 13:30:00,high_engaged
PAR000024,SES000002,STU079,Bob Hassan,2025-09-04 10:36:00,2025-09-04 13:30:00,low_engaged
PAR000025,SES000002,STU049,Wunmi Hassan,2025-09-04 10:39:00,2025-09-04 13:30:00,erratic
PAR000026,SES000002,STU017,Quinn Smith,2025-09-04 10:31:00,2025-09-04 13:30:00,erratic
PAR000027,SES000002,STU056,Dayo Bello,2025-09-04 10:30:00,2025-09-04 13:30:00,erratic
PAR000028,SES000002,STU076,Yakubu Hassan,2025-09-04 10:33:00,2025-09-04 13:30:00,low_engaged
PAR000029,SES000002,STU028,Bisi Nwosu,2025-09-04 10:35:00,2025-09-04 13:30:00,low_engaged
PAR000030,SES000002,STU073,Umaru Hassan,2025-09-04 10:40:00,2025-09-04 13:30:00,high_engaged
PAR000031,SES000002,STU075,Williams Okonkwo,2025-09-04 10:39:00,2025-09-04 13:30:00,erratic
PAR000032,SES000003,STU001,Alice Bello,2025-09-04 11:51:00,2025-09-04 13:00:00,low_engaged
PAR000033,SES000003,STU033,Gbenga Johnson,2025-09-04 11:51:00,2025-09-04 13:00:00,erratic
PAR000034,SES000003,STU065,Maryam Okafor,2025-09-04 11:47:00,2025-09-04 13:00:00,high_engaged
PAR000035,SES000003,STU080,Charlie Johnson,2025-09-04 11:53:00,2025-09-04 12:09:00,moderate
PAR000036,SES000004,STU022,Vera Bello,2025-09-07 16:04:00,2025-09-07 16:11:00,low_engaged
PAR000037,SES000004,STU065,Maryam Okafor,2025-09-07 16:02:00,2025-09-07 16:45:00,high_engaged
PAR000038,SES000004,STU064,Lami Johnson,2025-09-07 16:04:00,2025-09-07 16:45:00,moderate
PAR000039,SES000004,STU044,Rashida Smith,2025-09-07 16:06:00,2025-09-07 16:45:00,high_engaged
PAR000040,SES000004,STU060,Habib Hassan,2025-09-07 16:04:00,2025-09-07 16:45:00,moderate
PAR000041,SES000004,STU017,Quinn Smith,2025-09-07 16:04:00,2025-09-07 16:45:00,erratic
PAR000042,SES000004,STU012,Linda Bello,2025-09-07 16:06:00,2025-09-07 16:45:00,low_engaged
PAR000043,SES000004,STU041,Olu Mohammed,2025-09-07 16:05:00,2025-09-07 16:45:00,erratic
PAR000044,SES000004,STU068,Peace Mohammed,2025-09-07 16:07:00,2025-09-07 16:45:00,erratic
PAR000045,SES000004,STU056,Dayo Bello,2025-09-07 16:02:00,2025-09-07 16:45:00,erratic
PAR000046,SES000004,STU019,Sam Abubakar,2025-09-07 16:10:00,2025-09-07 16:45:00,moderate
PAR000047,SES000005,STU007,George Okonkwo,2025-09-08 16:08:00,2025-09-08 18:30:00,high_engaged
PAR000048,SES000005,STU025,Yusuf Mohammed,2025-09-08 16:07:00,2025-09-08 18:30:00,high_engaged
PAR000049,SES000005,STU020,Tina Nwosu,2025-09-08 16:02:00,2025-09-08 18:30:00,high_engaged
PAR000050,SES000005,STU080,Charlie Johnson,2025-09-08 16:01:00,2025-09-08 18:30:00,moderate
PAR000051,SES000005,STU030,Dara Okafor,2025-09-08 16:04:00,2025-09-08 18:30:00,low_engaged
PAR000052,SES000005,STU024,Xena Adeyemi,2025-09-08 16:02:00,2025-09-08 18:30:00,moderate
PAR000053,SES000005,STU005,Evan Mohammed,2025-09-08 16:04:00,2025-09-08 18:30:00,erratic
PAR000054,SES000005,STU061,Idris Adeyemi,2025-09-08 16:10:00,2025-09-08 18:30:00,moderate
PAR000055,SES000005,STU034,Halima Nwosu,2025-09-08 16:09:00,2025-09-08 18:30:00,high_engaged
PAR000056,SES000005,STU021,Umar Nwosu,2025-09-08 16:00:00,2025-09-08 18:30:00,high_engaged
PAR000057,SES000005,STU060,Habib Hassan,2025-09-08 16:09:00,2025-09-08 18:30:00,moderate
PAR000058,SES000005,STU056,Dayo Bello,2025-09-08 16:01:00,2025-09-08 18:30:00,erratic
PAR000059,SES000005,STU015,Oscar Smith,2025-09-08 16:07:00,2025-09-08 18:30:00,high_engaged
PAR000060,SES000005,STU064,Lami Johnson,2025-09-08 16:05:00,2025-09-08 16:41:00,moderate
PAR000061,SES000005,STU006,Fiona Nwosu,2025-09-08 16:06:00,2025-09-08 18:30:00,high_engaged
PAR000062,SES000005,STU057,Esther Adeyemi,2025-09-08 16:01:00,2025-09-08 18:30:00,moderate
PAR000063,SES000005,STU046,Tolu Okonkwo,2025-09-08 16:02:00,2025-09-08 18:04:00,moderate
PAR000064,SES000006,STU062,Joy Adeyemi,2025-09-09 08:31:00,2025-09-09 08:49:00,moderate
PAR000065,SES000006,STU059,Gloria Bello,2025-09-09 08:32:00,2025-09-09 09:15:00,low_engaged
PAR000066,SES000006,STU035,Ifeanyi Abubakar,2025-09-09 08:36:00,2025-09-09 09:15:00,moderate
