transcription_id,session_id,timestamp,speaker,text
TRN00000005,SES000001,2025-09-04 09:31:42,Vivian Hassan,That's an interesting question
TRN00000003,SES000001,2025-09-04 09:33:32,Olu Mohammed,Can someone summarize what we covered last week
TRN00000011,SES000001,2025-09-04 09:38:52,Olu Mohammed,Who wants to share their screen
TRN00000010,SES000001,2025-09-04 09:42:14,Nkechi Johnson,The deadline for the assignment is next Friday
TRN00000009,SES000001,2025-09-04 09:42:39,Olu Mohammed,Let me clarify that point
TRN00000004,SES000001,2025-09-04 09:55:15,Prof. Kunle Nwosu,Great participation today
TRN00000008,SES000001,2025-09-04 09:56:16,Kevin Okonkwo,The deadline for the assignment is next Friday
TRN00000012,SES000001,2025-09-04 10:00:55,Zara Okonkwo,"Good morning everyone, let's begin today's class"
TRN00000001,SES000001,2025-09-04 10:04:29,Vivian Hassan,The deadline for the assignment is next Friday
TRN00000014,SES000001,2025-09-04 10:05:51,Prof. Kunle Nwosu,"This will be on the exam, so take notes"
TRN00000007,SES000001,2025-09-04 10:13:35,Olu Mohammed,Any questions before we move on
TRN00000006,SES000001,2025-09-04 10:14:03,Kevin Okonkwo,"Good morning everyone, let's begin today's class"
TRN00000015,SES000001,2025-09-04 10:20:25,Olu Mohammed,Can someone summarize what we covered last week
TRN00000002,SES000001,2025-09-04 10:22:22,Olu Mohammed,Great participation today
TRN00000013,SES000001,2025-09-04 10:22:29,Olu Mohammed,"Let's wrap up for today, see you next time"
TRN00000055,SES000002,2025-09-04 10:30:45,Lami Johnson,The deadline for the assignment is next Friday
TRN00000046,SES000002,2025-09-04 10:41:50,Gloria Bello,We'll continue this topic in the next class
TRN00000050,SES000002,2025-09-04 10:45:24,Dr. Ngozi Okonkwo,That's an interesting question
TRN00000045,SES000002,2025-09-04 11:00:44,Dr. Ngozi Okonkwo,"Good morning everyone, let's begin today's class"
TRN00000051,SES000002,2025-09-04 11:02:56,Ade Hassan,Any questions before we move on
TRN00000020,SES000002,2025-09-04 11:14:31,Ade Hassan,The deadline for the assignment is next Friday
TRN00000029,SES000002,2025-09-04 11:15:12,Paula Mohammed,Any questions before we move on
TRN00000059,SES000002,2025-09-04 11:15:48,Ade Hassan,We'll continue this topic in the next class
TRN00000037,SES000002,2025-09-04 11:22:43,Gloria Bello,"That's correct, well done"
TRN00000054,SES000002,2025-09-04 11:22:46,Dr. Ngozi Okonkwo,"Let's wrap up for today, see you next time"
TRN00000057,SES000002,2025-09-04 11:26:51,Gloria Bello,Remember to check your email for updates
TRN00000039,SES000002,2025-09-04 11:32:10,Dr. Ngozi Okonkwo,The deadline for the assignment is next Friday
TRN00000025,SES000002,2025-09-04 11:43:06,Dr. Ngozi Okonkwo,The quiz will be open book
TRN00000034,SES000002,2025-09-04 11:47:34,Paula Mohammed,Remember to check your email for updates
TRN00000060,SES000002,2025-09-04 11:48:21,Ade Hassan,Let me clarify that point
TRN00000024,SES000002,2025-09-04 11:52:04,Lami Johnson,"This will be on the exam, so take notes"
TRN00000033,SES000002,2025-09-04 11:55:38,Gloria Bello,We'll continue this topic in the next class
TRN00000032,SES000002,2025-09-04 11:56:12,Chidi Okafor,The quiz will be open book
TRN00000052,SES000002,2025-09-04 11:58:54,Gloria Bello,Please submit your work on the portal
TRN00000041,SES000002,2025-09-04 11:59:58,Paula Mohammed,"That's correct, well done"
TRN00000031,SES000002,2025-09-04 12:24:31,Lami Johnson,Please pay attention to this important concept
TRN00000022,SES000002,2025-09-04 12:28:41,Gloria Bello,Let me clarify that point
TRN00000043,SES000002,2025-09-04 12:36:55,Paula Mohammed,That's an interesting question
TRN00000058,SES000002,2025-09-04 12:37:42,Ade Hassan,The quiz will be open book
TRN00000016,SES000002,2025-09-04 12:41:25,Chidi Okafor,"Let's wrap up for today, see you next time"
TRN00000035,SES000002,2025-09-04 12:44:55,Dr. Ngozi Okonkwo,That's an interesting question
